dataset,G-means,MS,BMS,WBMS,MeS,DB,DB++,QS,QS++,EWMS,Ours
D1,0.0835,0.0276,0.111,0.1125,0.1201,0.1157,0.1318,0.1119,0.1125,0.1292,0.1362
D2,0.179,0.1425,0.2184,0.2622,0.1606,0.1667,0.2277,0.2502,0.1659,0.3464,0.3682
D3,0.2069,0.1341,0.143,0.0422,0.1334,0.2664,0.3717,0.181,0.186,0.4001,0.4237
D4,0.7018,0.0161,0.6565,0.7042,0.0161,0.0259,0.0213,0.6797,0.7009,0.8021,0.8313
D5,0.7316,0.7316,0.7316,0.7508,0.6972,0.693,0.7316,0.7428,0.7316,0.8786,0.8931
D6,0.4414,0.5945,0.6006,0.027,0.6007,0.5902,0.6398,0.4949,0.611,0.6831,0.7287
D7,0.1779,0.2171,0.2051,0.2684,0.1245,0.153,0.2245,0.1749,0.2554,0.2847,0.3125
D8,0.2665,0.0631,0.5011,0.5233,0.0644,0.1661,0.2014,0.4165,0.5002,0.7079,0.7134
D9,0.7216,0.0885,0.806,0.8277,0.0461,0.5435,0.0,0.4996,0.7463,0.837,0.8636
D10,0.3014,0.2941,0.2496,0.2683,0.2802,0.4422,0.3841,0.494,0.5001,0.5824,0.6432
D11,0.266,0.3622,0.354,0.4123,0.3514,0.2168,0.3542,0.3521,0.4652,0.5326,0.5537
D12,0.1468,0.1528,0.1465,0.2384,0.1628,0.1864,0.1682,0.1549,0.249,0.2548,0.2649
D13,0.0,0.0,0.1796,0.1693,0.0,0.0,0.0,0.0456,0.1817,0.1959,0.2038
D14,0.048,0.0,0.0686,0.0688,0.0,0.0,0.0,0.0493,0.109,0.123,0.1268
D15,0.4722,0.0,0.5306,0.5306,0.0,0.0,0.0,0.1401,0.4182,0.581,0.5931
D16,0.0,0.0,0.2424,0.3165,0.0,0.0,0.0,0.0342,0.4277,0.3725,0.3821
D17,0.0,0.0,0.088,0.1694,0.0,0.0,0.0,0.0128,0.2542,0.3386,0.3413
D18,0.0,0.0,0.2012,0.2292,0.0,0.0,0.0,0.0051,0.1817,0.3401,0.3521
,7.722222222222222,8.805555555555555,6.305555555555555,4.888888888888889,8.916666666666666,8.11111111111111,7.0,6.555555555555555,4.527777777777778,2.111111111111111,1.0555555555555556
